model,group_col,group_value,n,event_rate,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
catboost,age_group,65+,4076,0.16732090284592738,0.5850353478710921,0.20975389629124322,0.0,0.13930778215280123,0.1495601173020528,1.4941348973607038,0.2653958944281525,1.3256785118739578
catboost,weekly_hours_group,1-19,451,0.19290465631929046,0.6451938865731969,0.3070508149443393,0.06382978723404255,0.15013532540787997,0.21839080459770116,2.1411794102948525,0.3448275862068966,1.708980674497916
catboost,weekly_hours_group,20-29,435,0.16091954022988506,0.6252054794520547,0.2322011110125627,0.0,0.13230504483702002,0.15714285714285714,1.5535714285714286,0.3142857142857143,1.5714285714285716
catboost,weekly_hours_group,30-34,384,0.109375,0.623572820941242,0.16975682857502106,0.0,0.09641699435685407,0.19047619047619047,1.8754578754578755,0.2619047619047619,1.3061224489795917
catboost,weekly_hours_group,35-39,141,0.0851063829787234,0.6304909560723514,0.23188631557484018,0.0,0.07666333092727483,0.3333333333333333,3.1333333333333333,0.4166666666666667,2.0258620689655173
catboost,weekly_hours_group,40+,1529,0.08960104643557881,0.6483870291131807,0.15744857062912915,0.0,0.07960866940087019,0.21897810218978103,2.1883497924717332,0.32116788321167883,1.6047898478126041
catboost,weekly_hours_group,nan,24123,0.08485677569124901,0.7406607878472493,0.1968032967668925,0.015384615384615385,0.0733595514584991,0.2677088422081094,2.676311811266566,0.4538348803126527,2.2689862834781596
catboost,firm_size_group,1-person,430,0.1186046511627907,0.6607687930053288,0.1967869867315671,0.038461538461538464,0.10349331769066357,0.0784313725490196,0.7843137254901961,0.35294117647058826,1.7647058823529411
catboost,firm_size_group,2+-person,26633,0.08801111403146472,0.7347750747996572,0.20016324393583917,0.015107007973143098,0.07584460520771802,0.2640784982935154,2.6400910829771753,0.4496587030716723,2.2481246928680028
hybrid_stack,age_group,15-24,604,0.2251655629139073,0.6328242835595778,0.34360775755301864,0.39215686274509803,0.3636876796410972,0.21323529411764705,2.111378977820636,0.34558823529411764,1.725085075352455
hybrid_stack,age_group,25-54,17242,0.06431968449135832,0.7551397739384245,0.17246068927523256,0.2433234421364985,0.1327646494695797,0.30387736699729484,3.037364383633251,0.5022542831379622,2.510834546206072
hybrid_stack,age_group,55-64,5141,0.09103287298191014,0.6683703984153374,0.18839370854804333,0.23444444444444446,0.203687025790562,0.23076923076923078,2.303659447348768,0.3888888888888889,1.9429327286470144
hybrid_stack,age_group,65+,4076,0.16732090284592738,0.5814081084957585,0.20782739635766237,0.30123598735268753,0.32991505616195776,0.1436950146627566,1.4355413719740096,0.2668621700879765,1.3330027025472946
hybrid_stack,weekly_hours_group,1-19,451,0.19290465631929046,0.6524567386636353,0.30651946166872446,0.35294117647058826,0.3784942062473232,0.21839080459770116,2.1411794102948525,0.3333333333333333,1.652014652014652
hybrid_stack,weekly_hours_group,20-29,435,0.16091954022988506,0.6270841487279843,0.23167164238210408,0.3202614379084967,0.27413014173937683,0.15714285714285714,1.5535714285714286,0.3,1.5
hybrid_stack,weekly_hours_group,30-34,384,0.109375,0.6033138401559454,0.16455055123090867,0.23952095808383234,0.22265346802117914,0.19047619047619047,1.8754578754578755,0.2619047619047619,1.3061224489795917
hybrid_stack,weekly_hours_group,35-39,141,0.0851063829787234,0.6117571059431525,0.2057361787932535,0.19672131147540983,0.22614132734973255,0.3333333333333333,3.1333333333333333,0.4166666666666667,2.0258620689655173
hybrid_stack,weekly_hours_group,40+,1529,0.08960104643557881,0.6510246245490394,0.15509678045597758,0.21666666666666667,0.16304288178166235,0.21897810218978103,2.1883497924717332,0.32116788321167883,1.6047898478126041
hybrid_stack,weekly_hours_group,nan,24123,0.08485677569124901,0.7419951886244907,0.196911845521411,0.2711954358498076,0.17593414124977644,0.2740595994137763,2.7398009600739845,0.4562774792379091,2.2811982656282037
hybrid_stack,firm_size_group,1-person,430,0.1186046511627907,0.6573542345698175,0.19819191784230045,0.2689655172413793,0.27433621231634087,0.0784313725490196,0.7843137254901961,0.3333333333333333,1.6666666666666665
hybrid_stack,firm_size_group,2+-person,26633,0.08801111403146472,0.7356538908538351,0.19989876082932095,0.2737970406617733,0.17957870468468098,0.2713310580204778,2.7125976232204905,0.4496587030716723,2.2481246928680028
